CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOMECAT,INCOME,RINCOMECAT,RINCOME,EDUC,SPEDU,PAEDU,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,POLVIEWS,POLVIEWS3,CAPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,JOBLOSE,JOBFIND,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOURS,JOBPROMO,JOBMEANS,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL
57722,2,64,2,,1,30,0,1,2,1,14,"23,750",,,16,,,,3,,,0,5,9,,,2,1,,3,2,4,2,2,2,,,,,2,,,,,,,,,1,4,5,2,3,1,1,,2,2,,,,
57723,1,54,2,5,1,31,2,1,2,,18,"45,000",18,"45,000",12,,,,1,,,,1,0,50,,2,1,,1,1,4,2,2,1,1,1,3,3,1,2,2,1,2,,,1,1,,,,,,,2,,3,2,1,4,2,2
57724,2,24,1,5,1,22,2,1,2,2,18,"45,000",13,"21,250",12,,,12,1,,,1,1,0,40,,2,,7,3,2,3,1,1,,1,1,3,1,,2,2,2,2,4,3,1,,,,,,,5,2,,,,2,4,3,1
57725,1,79,1,2,0,,1,1,2,,10,"13,750",,,11,,,,0,,,0,5,0,,,1,2,,3,2,6,3,1,1,4,5,5,3,1,,,,,,,,,,,,,,,3,,2,1,1,4,4,
57726,2,33,2,5,2,19,0,1,1,2,16,"32,500",,,16,,,12,1,,,1,7,0,,,2,2,6,2,2,4,2,2,,1,3,3,3,,1,2,1,1,,,,,,,,,,5,2,,,,1,4,3,1
57727,2,27,2,1,4,18,2,1,2,,8,"9,000",6,"6,500",12,14,4,4,1,1,0,0,1,1,36,68,2,2,,1,1,4,2,2,2,5,2,3,3,2,2,1,8,1,,,2,2,,,,,,,1,1,2,1,1,4,2,1
57728,1,36,1,5,1,24,1,1,3,1,20,"67,500",18,"45,000",16,,14,14,3,,1,1,1,0,50,,1,2,2,4,2,5,3,1,2,,,,,1,,,,,4,1,1,2,1,4,2,5,3,1,1,,1,1,,,,
57729,1,19,2,5,0,,1,1,3,2,25,"175,000",,,12,,16,12,1,,1,1,1,0,52,,2,2,0,3,2,,,1,,4,3,2,3,,2,2,1,1,3,2,2,,1,3,4,2,5,5,2,,,,1,4,1,2
57730,2,59,1,3,2,23,1,1,3,,20,"67,500",20,"67,500",12,,12,12,1,,1,1,1,0,60,,2,2,,3,2,5,3,1,1,6,4,,,1,2,2,1,1,,,1,1,,,,,,,2,,2,2,1,4,1,1
57731,1,63,1,1,4,21,2,1,2,1,22,"100,000",,,13,19,10,,1,4,0,,5,4,,,2,1,0,4,2,7,3,1,2,,,,,1,,,,,,,,,2,4,5,3,1,5,1,1,2,2,,,,
